x[km] y[km] z[km] vx[km] vy[km] vz[km]
40729916.387 -143969145.426  0.000 28.666  8.097  0.000 
43200633.424 -143248226.943  0.000 28.522  8.589  0.000 
45658593.559 -142484927.888  0.000 28.371  9.078  0.000 
48103069.763 -141679473.806  0.000 28.210  9.565  0.000 
50533338.990 -140832102.713  0.000 28.042 10.049  0.000 
52948682.387 -139943065.028  0.000 27.865 10.529  0.000 
55348385.514 -139012623.497  0.000 27.680 11.007  0.000 
57731738.546 -138041053.117  0.000 27.486 11.481  0.000 
60098036.493 -137028641.055  0.000 27.285 11.952  0.000 
62446579.400 -135975686.561  0.000 27.075 12.420  0.000 
64776672.561 -134882500.884  0.000 26.858 12.884  0.000 
67087626.719 -133749407.175  0.000 26.632 13.344  0.000 
69378758.274 -132576740.396  0.000 26.399 13.800  0.000 
71649389.484 -131364847.218  0.000 26.158 14.251  0.000 
73898848.664 -130114085.922  0.000 25.909 14.699  0.000 
76126470.387 -128824826.289  0.000 25.652 15.143  0.000 
78331595.683 -127497449.494  0.000 25.388 15.581  0.000 
80513572.228 -126132347.994  0.000 25.117 16.016  0.000 
82671754.542 -124729925.407  0.000 24.838 16.445  0.000 
84805504.179 -123290596.401  0.000 24.551 16.870  0.000 
86914189.915 -121814786.565  0.000 24.257 17.290  0.000 
88997187.937 -120302932.283  0.000 23.957 17.704  0.000 
91053882.025 -118755480.611  0.000 23.649 18.114  0.000 
93083663.737 -117172889.140  0.000 23.334 18.518  0.000 
95085932.586 -115555625.860  0.000 23.012 18.916  0.000 
97060096.224 -113904169.029  0.000 22.683 19.309  0.000 
99005570.610 -112219007.020  0.000 22.348 19.696  0.000 
100921780.188 -110500638.189  0.000 22.006 20.078  0.000 
102808158.054 -108749570.719  0.000 21.657 20.453  0.000 
104664146.129 -106966322.472  0.000 21.302 20.823  0.000 
106489195.319 -105151420.840  0.000 20.941 21.186  0.000 
108282765.680 -103305402.581  0.000 20.574 21.543  0.000 
110044326.579 -101428813.671  0.000 20.200 21.893  0.000 
111773356.849 -99522209.131  0.000 19.821 22.238  0.000 
113469344.944 -97586152.872  0.000 19.435 22.575  0.000 
115131789.094 -95621217.525  0.000 19.044 22.906  0.000 
116760197.447 -93627984.270  0.000 18.648 23.230  0.000 
118354088.222 -91607042.666  0.000 18.245 23.547  0.000 
119912989.846 -89558990.478  0.000 17.838 23.858  0.000 
121436441.097 -87484433.496  0.000 17.425 24.161  0.000 
122923991.241 -85383985.361  0.000 17.007 24.457  0.000 
124375200.163 -83258267.379  0.000 16.584 24.746  0.000 
125789638.499 -81107908.341  0.000 16.156 25.027  0.000 
127166887.765 -78933544.333  0.000 15.723 25.301  0.000 
128506540.478 -76735818.552  0.000 15.285 25.568  0.000 
129808200.279 -74515381.113  0.000 14.843 25.827  0.000 
131071482.048 -72272888.856  0.000 14.397 26.079  0.000 
132296012.023 -70009005.156  0.000 13.946 26.322  0.000 
133481427.906 -67724399.721  0.000 13.492 26.558  0.000 
134627378.973 -65419748.397  0.000 13.033 26.786  0.000 
135733526.177 -63095732.970  0.000 12.570 27.006  0.000 
136799542.249 -60753040.959  0.000 12.104 27.219  0.000 
137825111.795 -58392365.416  0.000 11.634 27.423  0.000 
138809931.390 -56014404.722  0.000 11.161 27.619  0.000 
139753709.669 -53619862.376  0.000 10.684 27.806  0.000 
140656167.411 -51209446.791  0.000 10.204 27.986  0.000 
141517037.623 -48783871.083  0.000  9.722 28.157  0.000 
